service_at_location_id,organization_id,service_id,location_id,organization_name,service_name,location_name,organization_description,service_description,address_street,city,county,state,postal_code,latitude,longitude,taxonomy_codes,taxonomy_terms,data_owner,status,application_process
211humbold-62614945,211humbold-52703594,211humbold-62614945,211humbold-62614945,Humboldt Area Center For Harm Reduction,Syringe Exchange Program,Syringe Exchange Program,"Humboldt Area Center for Harm Reduction intends to improve Humboldt Counties overall rating on the Healthy Communities Index, which includes overdose deaths, mental illness, suicide, and homelessness rates, etc.We believe that education and services will help bring the community together to create humane and compassionate approaches to solve these issues. Practicing in a socially just manner, we intend to provide comprehensive community-wide education programs, trainings & workshops; advocacy, empowerment, and support for drug users and other high-risk communities; overdose prevention; direct services, counseling, and referrals; safe injection supplies; and advocate for more humane drug policy.Syringe Exchange and Naloxone Distribution Drop-In Hours - 1522 3rd Street in Eureka (Samoa Bridge)Tuesday 10:00 am to 2:00 pm - under Samoa Bridge near AHHA ShowersThursday 10:00 am to 2:00 pm - Parked on ""A"" Street between 2nd ST and 3rd ST near Free Meal/ Mobile Medical, FREE MEALS from 10:30 am to 2:00 pm5000 Valley West Blvd #17/18 Arcata, CA 95521- Street Outreach (No syringe services at this location)Services Available: Clothing closet, snacks, and drinks, resting areas, phone charging, linkages to Medication Assisted Treatment, wound care supplies, safer sex supplies, harm reduction education, overdose prevention training, Narcan, fentanyl test kits, and much more.Drop in hours:Monday: 11:00 am to 2:30 pm OutreachTuesday: 11:00 am to 2:30 pm OutreachWednesday: 11:00 am to 2:30 pm Outreach & Delivery DayOut of Eureka/Arcata Area Service: Wednesdays from 12:30 pm to 3:00 pm(Appointment Needed/ Call (707) 407-6013 leave name & number)ID Vouchers are available to help replace lost IDs or driver's licenses during drop-in hoursFoot Care clinic during all drop-in hours","According to the Center for Disease Control, Syringe Exchange Programs (SEPs) provide free sterile syringes and collect used syringes from injection-drug users (IDUs) to reduce transmission of bloodborne pathogens, including human immunodeficiency virus (HIV), Hepatitis B Virus, and Hepatitis C Virus (HCV).Free services available during drop in hours include: clothing closet, snacks and drinks, resting areas, phSyringe Services Hours and LocationsMobile Syringe Services in Eureka Tuesday 10:00am to 2:00pm - Parked under Samoa Bridge near AHHA Mobile Showers Thursday 10:00am to 2:00pm - Parked on ""A"" Street between 2nd ST and 3rd ST near Free Meal/ Mobile Medicalone charging, linkages to Medication Assisted Treatment, wound care supplies, safer sex supplies, harm reduction education, overdose prevention training, Narcan, fentanyl test kits, and much more.",1522 33rd St,Eureka,Humboldt,CA,,32.72174,-117.1238,RX-8470.1900-180.60,Needle Exchange and Injection Supplies,211humboldt,,
211sonoma-96120924,211sonoma-96120648,211sonoma-96120804,211sonoma-96120681,Partnership Health Plan Of California,Calaim Community Supports - Serene Health Ipa,Serene Health Ipa - Cs,,"<p>Provides the following CalAIM Community Support Services: </p><ul><li><strong>Housing Transition Navigation Services</strong> - Provides help to find, apply for, and secure housing to members experiencing homelessness or at risk of experiencing homelessness.</li></ul><ul><li><strong>Housing Deposits</strong> - Provides assistance with housing security deposits, utilities set-up fees, first and last month's rent, and first month of utilities. Members can also receive funding for medically necessary items like air conditioners, heaters, and hospital beds to ensure their new home is safe for move-in.</li></ul><ul><li><strong>Housing Tenancy</strong> - Provides support to maintain safe and stable tenancy once housing is secured, such as coordination with landlords to address issues, assistance with the annual housing recertification process, and linkage to community resources to prevent eviction.</li></ul><ul><li><strong>Short Term Post Hospitalization Housing</strong> - Provides short-term housing (up to six months) for members who do not have a residence, and who have high medical or mental health and substance use disorder needs so they can continue recovery. To receive this support, members must also have been discharged from an inpatient clinical setting, residential substance use disorder treatment or recovery facility, residential mental health treatment facility, correctional facility, nursing facility, or recuperative care.</li></ul><ul><li><strong>Recuperative Care/Medical Respite</strong> - Provides short-term residential care for members with unstable housing who no longer require hospitalization, but still need to heal from an injury or illness. The residential care includes housing, meals, ongoing monitoring of the member's condition, and other services like coordination of transportation to appointments.</li></ul><ul><li><strong>Medically Tailored Meals or Groceries </strong>- Provides deliveries of nutritious, prepared meals and healthy groceries to support the member's health needs. Members also receive vouchers for healthy food and/or nutrition education.</li></ul><ul><li><strong>Respite Services</strong> - Provides short-term relief for member caregivers. Members may receive caregiver services in their home or in an approved facility on an hourly, daily, or nightly basis as needed.</li></ul>","9265 Sky Park Court, Suite 100",San Diego,San Diego,CA,92123,32.81445,-117.1272,"LH-5100.5050, BM-3000.2500, BH-3800.7250, BM-3000.0500, BD-5000.3500, BH-8600, BH-1800.9000, PH-7000.3300-140, BM-3000.2000, BH-3700, LH-2700.6000, PH-7000.3300-040, PH-7000.6000, BH-3800.7000, BD-1800.2250","Medical Equipment Expense Assistance, General Household Goods Provision, Rental Deposit Assistance, Appliances, Home Delivered Meals, Transitional Housing/Shelter, Medical Respite Facilities/Beds for Homeless People, Children's In Home Respite Care, Furniture, Housing Counseling, Nutrition Education, Adult In Home Respite Care, Out of Home Respite Care, Rent Payment Assistance, Food Vouchers",211sonoma,,Call for services
211onedegr-6948_211onedegr-4860,211onedegr-2063,211onedegr-6948,211onedegr-4860,St. Paul'S United Methodist Church,Join A Book Club For Women,St. Paul'S United Methodist Church,St. Paul's United Methodist Church offers dinner as well as a food pantry to the community.,"The St. Paul's UMC Book Club meets once a month to share thoughts about that month's book, enjoy refreshments, and socialize.",700 D Ave.,Coronado,,CA,92118,32.69061,-117.1789,TA-3000.0750,Book Distribution Programs,211onedegree,,Call for more information.
211onedegr-6954_211onedegr-4860,211onedegr-2063,211onedegr-6954,211onedegr-4860,St. Paul'S United Methodist Church,Get Free Clothing ,St. Paul'S United Methodist Church,St. Paul's United Methodist Church offers dinner as well as a food pantry to the community.,St. Paul's United Methodist Church provides new or used clothes in reasonable condition to individuals and families in need. This service is connected to the Project Needs program,700 D Ave.,Coronado,,CA,92118,32.69061,-117.1789,BM-6500.1500-250,General Clothing Provision,211onedegree,,Drop in during the Tuesday evening meal service or Thursday morning food pantry distribution to receive clothing.
211sofcali-79141046,211sofcali-79140937,211sofcali-79140991,211sofcali-79140985,International Relief Teams,Disaster Response Services,Main Office,"Nonprofit organization that helps communities recover from disasters by providing health services, medical supplies, and nutrition education.","Provides immediate and long-term relief to disaster victims in the United States and around the world. Services include:<ul>	<li>Mobilizing teams of skilled volunteers</li>	<li>Sending medical supplies</li>	<li>Providing funding to partner organizations</li><li>Provides emergency supplies, including food, water, health kits, medicines, and other resources as needed<br /></li></ul>","3545 Camino Del Rio Street, Suite A",San Diego,San Diego,CA,92108,32.777721,-117.116474,TH-1500.1700,Disaster Relief/Recovery Organizations,211sofcalifornia,,Call or visit
211peoria-4936-1187,211peoria-1187,211peoria-4936,211peoria-1187,Autism Research Institute,Autism Research Institute (WEB BASED DISCUSSION GROUPS/LIVE CHAT),Autism Research Institute,"Established in 1967 by psychologist and renowned father of modern autism research Dr. Bernard Rimland, ARI continues to pioneer in research, outreach, and cooperative efforts with other organizations worldwide. ARI advocates for the rights of autistic people and operates without funding from special-interest groups. ARI awards grants to advance innovative research with real potential to improve the lives of autistic people.","The Autism Research Institute offers an online Autism discussion group. This is a support group for those interested in the integrative medical approach to treatment for autism spectrum disorders, which mostly involves special diets, nutritional supplements, and the removal of toxic substances.",4182 Adams Avenue,San Diego,San Diego,CA,92116,32.7634,-117.1051,TJ-1800.3300-800,Web Based Discussion Groups/Live Chat,211peoria,,Please visit website.
211orangec-94284947,211orangec-94284887,211orangec-94284914,211orangec-94284901,Emilio Nares Foundation,Resource Center,Resource Center,A nonprofit organization based in San Diego that supports low-income families navigating childhood cancer and other life-threatening illnesses.,"Provides free, door-to-door transportation to medical appointments across San Diego, Orange, and Imperial Counties, ensuring that no child misses life-saving treatment due to lack of transportation. ENF also offers one-on-one support at its Family Resource Center inside Rady Children's Hospital-soon expanding to CHOC in Orange County-where families receive help completing applications for Medi-Cal, SSI, housing, and food assistance. Additional programs include Emilio's Healthy Snack Bags, which provide nutritious food after treatment, and Creating for Hope, which offers therapeutic arts activities for caregivers. Through these services, ENF provides compassionate, culturally responsive support to all families, removing barriers so they can focus on their child's healing.",4699 Murphy Canyon Road,San Diego,San Diego,CA,92123,32.82715,-117.119,BT-4500.6500-500,Non-Emergency Medical Transportation,211orangecounty,,"Walk-inApplicants can expect to be contacted within 24 hours after reaching out to the Emilio Nares Foundation (ENF). During the initial contact, they will be asked questions about the child's diagnosis and date of birth, and an intake will be completed that includes the child's and parent's information to determine eligibility for services. If no one is available to answer the call right away, families can expect a callback within one business day"
211rochest-7339144,211rochest-7339141,211rochest-7339143,211rochest-7339142,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,"Fresh Start Surgical Gifts provides free reconstructive surgery for children who have physical deformities caused by birth defects, accidents, abuse or disease.","* Provides reconstructive surgery for children who have physical deformities caused by birth defects, accidents, abuse or disease.   All radiology, anesthesia, pain medication, antibiotics, etc. provided by Fresh Start.   Follow up medical care provided on site for as long as needed.   Transportation to and from surgery site arranged and paid for by Fresh Start on a case by case basis.","2011 Palomar Airport Road, Suite 206",Carlsbad,San Diego,CA,92011,33.1198,-117.2805,LV-8300.6550,Plastic/Reconstructive Surgery,211rochester,,Call for information or visit website for information.
211lantana-2806-3614,211lantana-592,211lantana-2806,211lantana-3614,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts (PLASTIC/RECONSTRUCTIVE SURGERY),Fresh Start Surgical Gifts,"Transforms the lives of disadvantage children and young people with physical deformities caused by birth defects, accidents, abuse, or disease through the gift of a Fresh Start.","Provides reconstructive plastic surgery and related services to children and young adults with physical deformities. All services are provided free. The services, including surgery, dental, and speech clinic are provided in San Diego, California, San Antonio, Texas, and Chicago, Illinois.","2011 Palomar Airport Road, Suite 206",Carlsbad,San Diego,CA,92011,33.1198,-117.2805,LV-8300.6550,Plastic/Reconstructive Surgery,211lantana,,Contact by phone or complete application online.
211utica-31069195,211utica-31069195,211utica-31069195,211utica-31069195,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,"Provides free reconstructive surgery for children who have physical deformity caused by birth defects, accidents, abuse or disease. Services include all radiology, anesthesia, pain medication, antibiotics, and follow-up medical care. Coordinates transportation to and from surgery site, arranged by and paid for, on a case by case basis.","Provides free reconstructive surgery for children who have physical deformity caused by birth defects, accidents, abuse or disease. Services include all radiology, anesthesia, pain medication, antibiotics, and follow-up medical care. Coordinates transportation to and from surgery site, arranged by and paid for, on a case by case basis.","2011 Palomar Airport Road, Suite 206",Carlsbad,San Diego,CA,92011,33.1198,-117.2805,,,211utica,,Call or go online for information and services
inlandempi-7428903,inlandempi-7422079,inlandempi-7425716,inlandempi-7423304,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,"Non-profit organization provides reconstructive surgery to children with birth defects and physical deformities caused by accident, trauma, or abuse","Provides reconstructive surgery to children suffering from physical deformities caused by birth defects, accidents, abuse, or disease.Weekend surgery sessions operate approximately every 8 weeks.","2011 Palomar Airport Road, Suite 206",Carlsbad,San Diego,CA,92011,33.1198,-117.2805,LV-8300.6550,Plastic/Reconstructive Surgery,inlandempireunitedway,,"Complete the application at FreshStart.org. Once we receive the application a Fresh Start medical staff will review the application to ensure criteria is met, and reach out to the family with next steps. Please call for assistance with the application process."
211alameda-82586294,211alameda-38898776,211alameda-38904929,211alameda-82586292,The Unity Council,Fruitvale Farmers Market,Oakland- Avenida De La Fuente,Nonprofit community development corporation committed to enriching the quality of life of families. Its focus is to create a healthier and safer community for families and residents. Helps to promote social equity and improve quality of life.,"<p>Offers year-round, weekly farmers market. Locally grown farm fresh fruits and vegetables to the Fruitvale community are provided. Provides low-income residents with the opportunity to purchase fresh and healthy foods through:</p><ul>	<li>WIC </li>	<li>Calfresh</li></ul><p>Also helps individuals apply for WIC and Calfresh. </p>",Avenida De La Fuente,Oakland,Alameda,CA,94601,32.55624,-116.956,"FT-1020, NL-6000.2000, BD-2400.2250, NL-6000.9500","Certificates/Forms Assistance, Food Stamps/SNAP, Farmers Markets, WIC",211alamedacounty,,Visit during program hours
211tallaha-188-86,211tallaha-68,211tallaha-188,211tallaha-86,Autism Research Institute,Autism Research Institute,Autism Research Institute - Online And Phone Only,"*Conducts research and disseminates the results on the causes of autism and on methods of preventing, diagnosing and treating autism and other severe behavioral disorders of childhood 
*Provides research based information d to parents, caretakers and professionals through the agency's web site which also offers screening tools such as a diagnostic check-list and an Autism Treatment Evaluation checklist (ATEC)
*Awards grants and funds research studies, interested parties can learn more about taking part in the studies on the website","*Conducts research and disseminates the results on the causes of autism and on methods of preventing, diagnosing and treating autism and other severe behavioral disorders of childhood
*Provides research based information to parents, caretakers and professionals through the agency's web site which also offers screening tools such as a diagnostic check-list and an Autism Treatment Evaluation checklist (ATEC)
*Awards grants and funds research studies, interested parties can learn more about taking part in the studies on the website",4182 Adams Avenue,San Diego,San Diego,CA,92116,32.763409,-117.1051,"LT-1530, LR-0450, LF-7000.6500","Clinical Trials, Autism Therapy, Pediatric Developmental Assessment",211tallahassee,,Go to website or call toll-free number and follow prompts
211miami-25857-9076,211miami-9076,211miami-25857,211miami-9076,Va Home Loan Centers,Va Home Loan Centers (VETERAN HOME LOANS),Va Home Loan Centers,"VA Home Loan Centers is dedicated to finding affordable home ownership solutions for veterans and active duty military. We can assist with VA purchase, Va renovation loans, refinance and construction loans, help you obtain your VA Certificate of Eligibility and expedite your VA condo approval. In addition to VA loans, our experts are well-versed in FHA, USDA and disaster relief home loan programs. 

VA Home Loan Centers is a third party mortgage and real estate brokerage that specializes in loans guaranteed by the Department of Veterans Affairs.","VA Home Loan Centers is dedicated to finding affordable home ownership solutions for veterans and active duty military. We can assist with VA purchase, Va renovation loans, refinance and construction loans, help you obtain your VA Certificate of Eligibility and expedite your VA condo approval. In addition to VA loans, our experts are well-versed in FHA, USDA and disaster relief home loan programs. 

VA Home Loan Centers is a third party mortgage and real estate brokerage that specializes in loans guaranteed by the Department of Veterans Affairs.","9909 Huennekens, Suite 200",San Diego,San Diego,CA,92121,32.90303,-117.1808,BH-3500.3400-900,Veteran Home Loans,211miami,,Visit the website and complete the online loan application. You will speak to a loan specialist if eligible.
211orlando-351775,211orlando-70673,211orlando-43116,211orlando-70674,Semper Fi Fund,Veterans Services,Semper Fi Fund,Non-profit organization providing financial assistance for veterans.,"Program provides financial assistance which can include housing, childcare, treatment related travel and lodging costs.","825 College Boulevard, Suite 102 Pmb 609",Oceanside,San Diego,CA,92057,33.239268,-117.291225,NT-8900,Undesignated Temporary Financial Assistance,211orlando,,Call or visit website for information
211onedegr-20895_211onedegr-15808,211onedegr-2156,211onedegr-20895,211onedegr-15808,Lutheran Social Services - San Diego,Get Social Companionship For Seniors,Lutheran Social Services - San Diego,Lutheran Social Services - San Diego offers emergency services and social services to individuals and families.,"The Senior Companions program pairs seniors in the community with volunteer companions who can assist with errands and other household tasks, or simply provide conversation and friendship.",4425 Bannock Ave.,San Diego,,CA,94227,32.83263,-117.1967,PH-0320,Adult Day Programs,211onedegree,,Call Eleanor Slaughter to request services.
inlandempi-77067729,inlandempi-7422881,inlandempi-7428052,inlandempi-77067728,Michelles Place Cancer Resource Center,Michelle'S Place Cancer Resource Center,Michelle'S Place Cancer Resource Center - Fallbrook,"Provides a wide range of no-cost cancer support services to enhance your well-being at every stage of your journey. Offerings include behavioral health, support groups, wellness practices like Reiki, Yoga, and Tai Chi, as well as a variety of creative arts classes. We can connect you with temporary financial assistance during treatment (documentation may be required). While your medical team focuses on your physical care, we're here to support your mind, body, and spirit-helping you find comfort, connection, and community.","Provides a wide range of no-cost cancer support services to enhance your well-being at every stage of your journey. Offerings include behavioral health, support groups, wellness practices like Reiki, Yoga, and Tai Chi, as well as creative arts, sewing, and crafting classes. We can also connect you with temporary financial assistance during treatment (documentation may be required). While your medical team focuses on your physical care, we're here to support your mind, body, and spirit-helping you find comfort, connection, and community.*Some Comfort items provided at NO-Cost:Wigs and personalized wig fittingsHeadwear - Ranging from wraps, scarfs, hats, beanie's, caps, hundreds of style options to fit your individual styleChemo kits and Mastectomy care packagesLap blankets, rice heat packs, port protection pillowsMastectomy pillows and under-arm heart pillowsBras and breast prosthesisHair cut/wig shapingFirst shave servicesLibrary of books",1636 East Mission Road,Fallbrook,San Diego,CA,92028,33.38895,-117.229,"LH-5100.3300, BV-8900.9300-250, BT-8500.1000-200, BV-8900.9300-180, HL-8120.7800-200, BD-1800.2250","Incidental Medical Expense Assistance, Gas Service Payment Assistance, Free Transit Passes, Electric Service Payment Assistance, Free School Supplies, Food Vouchers",inlandempireunitedway,,"By phone, online, or in person"
211onedegr-21458_211onedegr-19550,211onedegr-6230,211onedegr-21458,211onedegr-19550,Al Otro Lado,Get Assistance For Those Deported To Mexico,Tijuana Mailing Address,"Al Otro Lado is a bi-national organization that serves deportees, migrants, and refugees in Tijuana, Mexico with free immigration assistance. The company is composed of professionals that specialize in family, labor, employment, and criminal law.","For those that grew up in the United States, but we're deported to Mexico, Al Otro Lado can offer assistance in obtaining documents for Mexican citizenship or assist in legally returning to the United States.","511 E. San Ysidro Blvd., #333",San Ysidro,,CA,92173,32.55006,-117.0359,FT-3600,Immigration/Naturalization Legal Services,211onedegree,,Call if you or a family member have been deported to Tijuana.
211cedarkn-63469257,211cedarkn-63469252,211cedarkn-63469256,211cedarkn-63469253,Psycharmor Institute,Helping You Help Veterans Support Center,Psycharmor Institute,"Offers free training and support for how to work with, live with, or care for military veterans. PsychArmor creates and builds custom learning pathways tailored to your organization's needs.","Provides a helpline to individuals who live with, work with, or care for service members and veterans. Education and resource counselors at the center can provide information on veteran-related supportive programs, services, and resources to callers.","6215 Ferris Sq, Ste 205",San Diego,San Diego,CA,92121,32.89111,-117.1832,TJ-3000.8000,Specialized Information and Referral,211cedarknolls,,Call or visit the website for application information
211onedegr-22008_211onedegr-16182,211onedegr-5464,211onedegr-22008,211onedegr-16182,The San Diego Lgbt Community Center,Access Support Services For Lgbt Youth,Hillcrest Youth Center,"The San Diego LGBT Community Center provides health and well-being services for the lesbian, gay, bisexual, transgender, and HIV communities.","The Hillcrest Youth Center and South Bay Youth Center provide a safe, welcoming and affirming space where youth can be themselves and access computers, health education, financial education, leadership training, HIV prevention education, life skills training, discussion groups, arts, and social activities.","1807 Robinson Ave., Suite 106",San Diego,,CA,92103,32.74615,-117.1457,PH-6200.4600,Life Skills Education,211onedegree,,Visit the link to view resources at South Bay Youth Center.
211onedegr-22008_211onedegr-20752,211onedegr-5464,211onedegr-22008,211onedegr-20752,The San Diego Lgbt Community Center,Access Support Services For Lgbt Youth,South Bay Youth Center,"The San Diego LGBT Community Center provides health and well-being services for the lesbian, gay, bisexual, transgender, and HIV communities.","The Hillcrest Youth Center and South Bay Youth Center provide a safe, welcoming and affirming space where youth can be themselves and access computers, health education, financial education, leadership training, HIV prevention education, life skills training, discussion groups, arts, and social activities.","1180 3rd Avenue, Suite C1",Chula Vista,,CA,91911,32.61082,-117.069,PH-6200.4600,Life Skills Education,211onedegree,,Visit the link to view resources at South Bay Youth Center.
211orangec-71622551,211orangec-8630189,211orangec-17204203,211orangec-71615267,United States Department Of Veterans Affairs,Disability Compensation,San Diego Regional Office,"Federal government agency that provides health care, benefits, and services for United States veterans and their dependents.","Provides a monthly tax-free payment to Veterans who got sick or injured while serving in the military and to Veterans whose service made an existing condition worse. Benefits can be provided for physical conditions and mental health conditions that developed before, during, or after service.",8810 Rio San Diego Drive,San Diego,San Diego,CA,92108,32.777,-117.141,NS-1800.9000-920,Veteran Disability Compensation Benefits,211orangecounty,,"Website, By Mail, Appointments accepted (please visit website to find nearest location)"
211akron-279122,211akron-SUMM106608,211akron-68617,211akron-106609,Semper Fi Fund,Assistance For Vietnam Veterans,Semper Fi Fund,"Provides immediate financial assistance and lifetime support to combat wounded, critically ill, and injured members of all branches of the U.S. Armed Forces and their families. Delivers resources to active service members in need during recovery and transition back to their communities.","Offers financial assistance to Vietnam Veterans from any U.S. military Service branches who are injured from combat. 

Assistance includes: 
- Housing Grants: provides modifications, repairs, and adaptive home updates.
- Family Support Grants: offers financial assistance for rent or mortgage.
- Medical Care Grants: offers financial assistance to pay expenses not covered by insurance or VA.
- Transportation Grants: provides adaptive vehicle or modifications to existing vehicle and vehicle repairs.","825 College Boulevard, Suite 102, Pmb 609",Oceanside,San Diego,CA,92057,33.24046,-117.294,"LH-0600.5000-850, BH-3800.5000, BM-7000.0500, BH-3800.7000, BT-8300, LH-0600.0100, LH-5100.5000, NT-8900, BH-3000.3550-350","Transfer Devices, Mortgage Payment Assistance, Automotive Repair and Maintenance, Rent Payment Assistance, Transportation Expense Assistance, Automobile/Van Adaptations, Medical Care Expense Assistance, Undesignated Temporary Financial Assistance, Home Rehabilitation Grants",211akron,,Visit the website to complete an assistance request form. Each request is reviewed on a case-by-case basis. Case managers will respond within 24 to 48 hours. Call the office for more information.
